cohesion,separation,alignment_variance,clusters,isolated,connected
1.6841442427474164e-07,15460.722625962913,124.33345750315286,34,0,100
1.6918848429132428e-07,15774.787593655436,129.82171470879263,33,0,100
1.7079814663586667e-07,15561.137249580941,122.03885642923245,33,0,100
1.70107135074955e-07,15682.858899165114,257.9977384106852,33,0,100
1.6876604216390165e-07,15841.869774482164,143.93416575508206,32,0,100
1.69362590954818e-07,15527.426015916262,257.36418376515405,34,0,100
1.7000605208173206e-07,15276.831615893427,144.24544638027527,34,0,100
1.7011668334964554e-07,15514.013941865196,144.2463691784227,33,0,100
1.7059050128997634e-07,15210.287851350424,140.95124458797275,33,0,100
1.6853039659156693e-07,15458.985568015676,129.27747426559452,32,0,100
1.6659386557774604e-07,15535.862069203598,128.7675109016252,32,0,100
1.651894296008215e-07,14875.00279171188,114.38627378376242,32,0,100
1.6554012301511108e-07,14772.682247506422,115.72869713338154,32,0,100
1.6601379410596344e-07,14793.484765472522,200.16004717995608,32,0,100
1.645424166662107e-07,15046.659291127691,335.4181705189437,32,0,100
1.6306218154659584e-07,14731.537949875885,269.854229589235,32,0,100
1.6009030937560454e-07,14750.804053508067,359.5974375202295,31,0,100
1.6043249344342387e-07,14577.161377451632,363.1010058463855,31,0,100
1.608078396527989e-07,14564.292980661541,236.93162546408644,31,0,100
1.613626753431932e-07,14567.638766228236,111.35755306444518,30,0,100
1.5933083050493847e-07,14598.141414103511,250.4872440030342,30,0,100
1.5722320234104328e-07,14721.921808271201,249.25945288703414,30,0,100
1.5510724050435056e-07,14797.07131661603,364.31744505535346,29,0,100
1.5534754525140236e-07,14180.320788721014,567.1950278223171,28,0,100
1.5561022072266205e-07,14166.731515815532,379.9196693134848,27,0,100
1.5309320008773643e-07,14561.191136432348,359.94981182673763,27,0,100
1.534440723216074e-07,13951.062987827183,405.55760587107756,27,0,100
1.5370989157561733e-07,13950.95106088887,654.0550466761249,27,0,100
1.5098267360302817e-07,14436.708328455703,353.23146106247503,28,0,100
1.4869653274970594e-07,14134.860411568381,417.0170306028437,28,0,100
1.3831459610914458e-07,14646.205797861814,463.9354535960994,29,0,100
1.23684965541925e-07,15074.22019530605,448.0210740972904,30,0,100
1.1515762955254693e-07,13239.895606214823,404.4718510421652,29,0,100
1.0467204420619651e-07,12650.337994312551,324.226818161201,29,0,100
9.876503905200465e-08,12838.702437481728,373.7233396692889,29,0,100
9.133371861968148e-08,11815.526871952068,331.29005643950563,29,0,100
8.118943869700781e-08,13703.6118716695,586.8511358796118,29,0,100
7.915933219078845e-08,10506.015982105597,634.9655871816383,28,0,100
7.7350949565357e-08,10272.09358880867,817.6030455936964,28,0,100
7.079390490906169e-08,11181.737760043436,945.2712824097491,29,0,100
6.702130816611262e-08,10505.756105167531,660.3086829476355,30,0,100
6.336948878728691e-08,10657.79406678037,623.6276393403201,31,0,100
6.243543837852493e-08,9076.034811355894,648.9818009313157,32,0,100
6.118699270835531e-08,8695.248875674235,1312.8406732175856,32,0,100
5.870933250695793e-08,9916.977814230504,1257.7140290997386,31,0,100
5.7124999044815004e-08,7894.858815731746,928.4697295909083,31,0,100
5.599621703588527e-08,8675.831217746669,1027.7782055216076,32,0,100
5.577227865640882e-08,6943.473277023399,1219.2071610372332,31,0,100
5.5250751712411704e-08,8226.16262260034,1293.840705238767,31,0,100
5.494635388014124e-08,7606.316886397959,1067.3662819215315,31,0,100
5.4753134786342736e-08,7633.734730415365,824.4067211122225,32,0,100
5.476307140659381e-08,7848.9922936333405,1111.6021798162096,34,0,100
5.51086635396656e-08,7183.658909979207,985.2426427460625,34,0,100
5.552742376634724e-08,7712.743299891279,1320.238180053265,34,0,100
5.5850013391340274e-08,6681.849726988558,828.9014340811499,35,0,100
5.7175476511742314e-08,8502.968359633875,954.9235890244793,36,0,100
5.753989040937333e-08,7534.715094783878,672.4422802403151,35,0,100
5.804686015695019e-08,7164.959346355555,725.6685442445,35,0,100
5.967762413368905e-08,7877.586818328336,718.2718239569684,34,0,100
6.072440984704552e-08,7711.460835340012,524.179571048215,34,0,100
6.154663775831318e-08,7362.148095108632,449.8426034451847,32,0,100
6.326246224886818e-08,8046.518931084304,619.0987589821151,33,0,100
6.42438662360947e-08,7977.2465154153515,443.0568021700444,37,0,100
6.513341341837188e-08,8019.547234686621,548.9988922630293,37,0,100
6.78572253103772e-08,8843.949616119626,664.1378424238858,39,0,100
7.10373149928091e-08,9216.081812315204,522.3941660718473,40,0,100
7.324225744619321e-08,9441.678402161164,536.0227873169607,40,0,100
7.638012770169955e-08,9735.115097859627,510.84958232756554,41,0,100
8.136402619033093e-08,10286.418054735012,722.3311443500603,40,0,100
8.229272168048085e-08,10218.311895810064,817.5408352653077,39,0,100
9.08146234261652e-08,10939.003534690228,706.4756892620063,40,0,100
9.541545107767261e-08,11494.220904100242,662.6399051110402,38,0,100
9.677503363571462e-08,11993.806031979722,568.1016838862395,39,0,100
1.0360064366806071e-07,12381.568568300838,601.0751566474335,38,0,100
1.0702716336169824e-07,12817.332057759415,799.4834719208181,39,0,100
1.1179038291738084e-07,12901.86284190698,555.337685053132,37,0,100
1.1975473358509752e-07,13151.456742473734,311.48144295201797,38,0,100
1.2134214780757302e-07,13325.018467893498,297.1932337732831,37,0,100
1.2172224200903365e-07,13487.14402897689,359.83752246215397,36,0,100
1.321325411970084e-07,13801.597963383232,232.73970051412405,36,0,100
1.324457732655969e-07,14040.466274292214,196.03637331582695,36,0,100
1.3281199959279954e-07,14092.059273179853,237.2289218067507,35,0,100
1.3448407383645086e-07,14131.515952634054,255.31487794365032,36,0,100
1.3504480944666398e-07,14062.341329223802,122.86400049021036,36,0,100
1.406184242428446e-07,14333.584927435184,236.874764430226,35,0,100
1.4102617202613716e-07,14322.084083534319,243.8689733342327,34,0,100
1.414515311206084e-07,14296.066160474827,232.5659179178547,34,0,100
1.451142952529922e-07,14426.540923243363,354.9988019248359,35,0,100
